handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_16fab67a-2bea-f5d9-6edb-f699fe25fa07,Variant,,,,,65,,,5,TRUE,,,10,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_16fab67a-2bea-f5d9-6edb-f699fe25fa07,Variant,,,,,66,,,10,TRUE,,,10,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Product,Sign Language 'I Love You' Print,"<p>Sign language, specifically ASL, has always held a special place in my heart and I don’t know why. Im not fluent by any means, but the first sign that I learned as a child was “I Love You,” so it seems fitting that this is one of the first prints that I am releasing.&nbsp;</p><p>&nbsp;</p><p>This is a full color print, printed on 100# cardstock paper with a matte finish. It is nice and thick with a smooth&nbsp;texture. &nbsp;</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_1963ec074d6543879ff4ef68fd96f265~mv2.jpg;2077e7_b4f3f60f0dfa4b999ae658008fc8079f~mv2.jpg;2077e7_b8c686c0265d4492b808aff4d0a779b2~mv2.jpg;2077e7_add7f7f0426d4fedbbfd706cf0bd45fe~mv2.jpg;2077e7_cf2cca264f504174bcaa7e0bccdee8db~mv2.jpg;2077e7_16657103fc00415e89affc4cc416e95a~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Variant,,,,,61,,,0,TRUE,,,10,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Variant,,,,,62,,,5,TRUE,,,10,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Variant,,,,,63,,,10,TRUE,,,10,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b69d2050-94c8-44ce-d570-43357d079fc0,Product,Mini Yosemite Sticker,"<p>2.5 x 2.5 inches</p><p>&nbsp;</p><p>A small version of my Yosemite National Park Sticker, in Yellow Ochre/White.</p><p>&nbsp;</p><ul>	<li>Matte finish</li>	<li>Removable and replaceable</li>	<li>Waterproof</li>	<li>Weatherproof</li>	<li>Dishwasher safe, can be placed on cars and water bottles</li>	<li>Removes with little to no residue, any residue can be easily removed with hand sanitizer or rubbing alcohol</li></ul>",2077e7_3eaba30c08e943bf95b27d1ce6c344ae~mv2.jpg;2077e7_ca92327e90954033a158317d962fa2d5~mv2.jpg;2077e7_8ea7323b7eba4a1bb908f14f70ca6b47~mv2.jpg,Stickers,60,,3.25,,TRUE,PERCENT,0,10,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ec15c7a5-9345-4c8b-a4ee-0b08560ed5ef,Product,Arches National Park Sticker,"<p>3.5 x 3.5 inches</p><p>&nbsp;</p><p>My National Park collection is perfect for anybody who loves (or even mildly likes) to travel. &nbsp;They're perfect to stick to cars, hydro flasks,&nbsp;laptops, and planners. I did my best to keep the designs simple while still ringing true to the scenery. &nbsp;One special touch is that I included the state flower for where&nbsp;the national parks are located.&nbsp; Arches National Park is in Utah, so the flowers you see in the design are the Sego Lily.</p><p>&nbsp;</p><p>Each National Park&nbsp;sticker comes in two background colors and two design colors. The two design colors are always either black or white, but the background choices vary depending on the park. This listing is for Arches, so the background colors are Saddle (a tan that pulls orangish yellow) or Burnt Umber (a rich and dark reddish brown).</p><p>&nbsp;</p><ul>	<li>Matte finish</li>	<li>Removable and replaceable</li>	<li>Waterproof</li>	<li>Weatherproof</li>	<li>Dishwasher safe, can be placed on cars and water bottles</li>	<li>Removes with little to no residue, any residue can be easily removed with hand sanitizer or rubbing alcohol</li></ul>",2077e7_a9561a8b68704efc848e200c51cdfb48~mv2.jpg;2077e7_19556687513b406b832e5487a38347b1~mv2.jpg;2077e7_7ee5bcde053a4374a4bf9304919ac266~mv2.jpg;2077e7_43294edbe4264233a2bca9a2f1eae18a~mv2.jpg;2077e7_c0cd4cdf026b488c83d0b7bbcc349776~mv2.jpg;2077e7_a5421a454fd9469abd420360ed55c093~mv2.jpg;2077e7_e17808d47acd43f68dd617893b9e8aca~mv2.jpg;2077e7_5d7465ea43604b23b516eb55f7183888~mv2.jpg;2077e7_a21cc4bb321e49c6b8b37702538131d3~mv2.jpg;2077e7_949205e4509746ffb5fc0a6e4b510eb9~mv2.jpg;2077e7_aded4343d0ff4797994fd1ca6be4c212~mv2.jpg,Stickers,,,3.25,,TRUE,PERCENT,0,0,0,Background Color,DROP_DOWN,Saddle;Burnt Umber,Design,DROP_DOWN,Black;White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ec15c7a5-9345-4c8b-a4ee-0b08560ed5ef,Variant,,,,,56,,,0,TRUE,,,10,0.07,,,Saddle,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ec15c7a5-9345-4c8b-a4ee-0b08560ed5ef,Variant,,,,,58,,,0,TRUE,,,12,0.07,,,Burnt Umber,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
